id;nama;stok;lokasi;jenis;created_at;updated_at
791;Rak Tabung Besi (Panjang);5.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
792;Rak Tabung Besi (Pendek);6.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
793;Rak Tabung Kayu;20.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
794;Rak Tabung Plastik;19.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
795;Spatula Plastik;30.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
796;Spatula Porselin;17.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
797;Sptula Besi;25.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
798;Spuit (Jarum Suntik Sterill);200.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
799;Stamper;56.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
800;Statif;15.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
801;Stopwach;4.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
802;Tempat Urine;8.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
803;Tensi;1.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
804;Thermometer (Digital);7.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
805;Thermometer (Manual);5.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
806;Tourniquit;13.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
807;Tube Salep;9.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
808;Urinenometer;1.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
809;Vortex Mirex;2.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
810;Wadah Urine;50.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
811;Yellow Tip;100.00;Lemari Depo VI;Alat;23/04/2024 08:16;23/04/2024 08:16
812;Amilum Solani;400.00;Rak Besi;Padat;10/08/2024 09:07;10/08/2024 09:07
813;Alumunium Potassium Sulfate Dodecahydrate;500.00;Rak Besi;Padat;10/08/2024 09:08;10/08/2024 09:08
814;Butilhidroksituluena (BHT);2500.00;Rak Besi;Padat;10/08/2024 09:10;10/08/2024 09:10
815;Amilum;800.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 09:12;10/08/2024 09:12
816;Amilum Tritici;500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:13;10/08/2024 09:13
817;Asam Tartrat;2000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:18;10/08/2024 09:18
818;Benzidin;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:19;10/08/2024 09:19
819;Bentonit Magma;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:20;10/08/2024 09:20
820;Bismuth Subnitrat;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:22;10/08/2024 09:22
821;Carmin;2000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 09:23;10/08/2024 09:23
822;Calcii Lactat;1200.00;Rak Besi;Padat;10/08/2024 09:25;10/08/2024 09:25
823;Ceto Stearyl;1000.00;Rak Besi;Padat;10/08/2024 09:25;10/08/2024 09:25
824;Ferri Nitrat;500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 09:26;10/08/2024 09:26
825;Efedrin HCL;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:06;10/08/2024 10:06
826;Mangan Sufat (MnSO4);500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 10:07;10/08/2024 10:07
827;Iron (II) Chloride Tetrahydrate;500.00;Rak Besi;Padat;10/08/2024 10:08;10/08/2024 10:08
828;Mangan Sulfat;250.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 10:09;10/08/2024 10:09
829;Magnesium Klorida (MgCl2);1000.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 10:14;10/08/2024 10:14
830;PEG 6000;40000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:28;10/08/2024 10:28
831;Sodium Thiosulfat (Na2S2O3);2000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:29;10/08/2024 10:29
832;Indocol (Pewarna Orange);500.00;Rak Besi;Padat;10/08/2024 10:32;10/08/2024 10:32
833;Propil Paraben;1500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 10:43;10/08/2024 10:43
834;Sodium Benzoat;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:52;10/08/2024 10:52
835;Sodium Sulfate;1500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:53;10/08/2024 10:53
836;Potassium Chromate;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:54;10/08/2024 10:54
837;Sodium Oxalate;500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 10:55;10/08/2024 10:55
838;Potassium Thiocyanate;250.00;Rak Besi;Padat;10/08/2024 12:53;10/08/2024 12:53
839;Ammonium Molybdate;200.00;Rak Stok (Kayu Putih);Padat;10/08/2024 13:49;10/08/2024 13:49
840;di-Sodium Hydrogen Phospate;500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 13:50;10/08/2024 13:50
841;Ammonium Perosulphate;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 13:51;10/08/2024 13:51
842;Manitol;1000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:17;10/08/2024 14:17
843;Sodium Sulfide;2000.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:18;10/08/2024 14:18
844;Natrium Molybdate;25.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:18;10/08/2024 14:18
845;Aniline Sulfate;25.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:20;10/08/2024 14:21
846;Asam Oksalat;1500.00;Rak Besi Stok;Cair;10/08/2024 14:23;10/08/2024 14:23
847;Larutan Penyangga B;1000.00;Rak Besi;Cair;10/08/2024 14:24;10/08/2024 14:24
848;Solution Ammoniae Spiritus;1000.00;Rak Besi;Cair;10/08/2024 14:25;10/08/2024 14:25
849;Etilen Glikol;500.00;Rak Besi;Cair;10/08/2024 14:25;10/08/2024 14:25
850;Aqua Rosae;3000.00;Rak Besi Stok;Cair;10/08/2024 14:26;10/08/2024 14:26
851;Karbopol;1000.00;Rak Besi;Cair;10/08/2024 14:27;10/08/2024 14:27
852;PEG 600;2000.00;Rak Besi;Cair;10/08/2024 14:28;10/08/2024 14:28
853;PCO;1000.00;Rak Besi;Cair;10/08/2024 14:28;10/08/2024 14:28
854;Oleum citrus;1000.00;Rak Besi;Cair;10/08/2024 14:33;10/08/2024 14:33
855;Iron (II) Sulfate;500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:34;10/08/2024 14:34
856;C8H8N6O6;100.00;Lemari Kayu Berpintu;Padat;10/08/2024 14:34;10/08/2024 14:34
857;Solution Hydratis Calcii;2000.00;Rak Besi;Cair;10/08/2024 14:34;10/08/2024 14:34
858;Isopropyl Alkohol;2000.00;Rak Besi;Cair;10/08/2024 14:35;10/08/2024 14:35
859;Potato Dextrose Agar (PDA);500.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:35;10/08/2024 14:35
860;Buffer Phospat pH 8,2;1000.00;Lemari Kayu Berpintu;Cair;10/08/2024 14:36;10/08/2024 14:36
861;Metyhlen Blue;1000.00;Rak Besi Stok;Cair;10/08/2024 14:36;10/08/2024 14:36
862;NaCl 0,9% (Infus);6000.00;Rak Besi;Cair;10/08/2024 14:37;10/08/2024 14:37
863;Reagen Hayem;100.00;Rak Besi Stok;Cair;10/08/2024 14:38;10/08/2024 14:38
864;Parafin Liquid;5000.00;Rak Besi + Rak Besi Stok;Cair;10/08/2024 14:39;10/08/2024 14:39
865;Pereaksi Biuret;100.00;Rak Besi;Cair;10/08/2024 14:39;10/08/2024 14:39
866;NH4OH;1000.00;Rak Besi;Cair;10/08/2024 14:40;10/08/2024 14:40
867;Etanol P.A;3000.00;Lemari Kayu Berpintu;Cair;10/08/2024 14:40;10/08/2024 14:40
868;Xylol;1000.00;Lemari Kayu Berpintu;Cair;10/08/2024 14:41;10/08/2024 14:41
869;NH4OH;1000.00;Rak Besi;Cair;10/08/2024 14:41;10/08/2024 14:41
870;Cyclopentanone;250.00;Lemari Kayu Berpintu;Cair;10/08/2024 14:41;10/08/2024 14:41
871;CaOH2;1000.00;Rak Besi;Cair;10/08/2024 14:41;10/08/2024 14:41
872;Reagen Molisch;100.00;Rak Besi;Cair;10/08/2024 14:42;10/08/2024 14:42
873;Reagen Pandy;50.00;Rak Besi;Cair;10/08/2024 14:42;10/08/2024 14:42
874;Reagen Schlesinger;200.00;-;Cair;10/08/2024 14:42;12/08/2024 10:07
875;Reagen Millon;200.00;Rak Besi;Cair;10/08/2024 14:43;10/08/2024 14:43
876;Aquadest;50000.00;Rak Besi;Cair;10/08/2024 14:45;10/08/2024 15:03
877;Aluminium Pottasium Sulfate Dodecahydrate;500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:45;10/08/2024 14:45
878;Desinfektan;20000.00;Rak Besi;Cair;10/08/2024 14:46;10/08/2024 14:46
879;Amilum;300.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:46;10/08/2024 14:46
880;BCB;100.00;Rak Besi;Cair;10/08/2024 14:47;10/08/2024 14:47
881;Reagen Fauchet;100.00;Rak Besi;Cair;10/08/2024 14:48;10/08/2024 14:48
882;Pyridin;30.00;Rak Besi;Cair;10/08/2024 14:48;10/08/2024 14:48
883;Butilhidroksitoluena (B.H.T);2000.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:48;10/08/2024 14:48
884;Frohde;25.00;Rak Besi;Cair;10/08/2024 14:49;10/08/2024 14:49
885;Calcii Lactat;200.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:49;10/08/2024 14:49
886;Phenol Red;200.00;Rak Besi;Cair;10/08/2024 14:50;10/08/2024 14:50
887;Ceta Stearyl;1000.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:51;10/08/2024 14:51
888;Feri Nitrat;500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:52;10/08/2024 14:52
889;Iron (II) Chloride Tetrahydrate;500.00;Rak Besi;Padat;10/08/2024 14:52;10/08/2024 14:52
890;Mangan Sulfat;250.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:54;10/08/2024 14:54
891;Na2S2O3 (Sodium Thiosulfat);1000.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:55;10/08/2024 14:55
892;EBT;25.00;Rak Stok (Kayu Putih);Padat;10/08/2024 14:56;10/08/2024 14:56
893;Propil Paraben;1500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:56;10/08/2024 14:56
894;2-Propanolol;500.00;Rak Besi + Rak Besi Stok;Cair;10/08/2024 14:56;10/08/2024 14:56
895;Formic Acid;1000.00;Rak Besi + Rak Besi Stok;Cair;10/08/2024 14:58;10/08/2024 14:58
896;Sodium Sulfat;500.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:58;10/08/2024 14:58
897;1.10-Phenanthroline Monohydrate;0.00;Rak Stok (Kayu Putih);Cair;10/08/2024 14:58;10/08/2024 14:58
898;Logam Zn;100.00;Rak Besi + Rak Besi Stok;Padat;10/08/2024 14:59;10/08/2024 14:59
899;Media EC Broth;500.00;Rak Besi;Padat;10/08/2024 15:00;10/08/2024 15:00
900;Reagen Bang;100.00;Rak Besi + Rak Besi Stok;Cair;10/08/2024 15:00;10/08/2024 15:00
901;Trichloroacetic;100.00;Lemari Kayu Berpintu;Padat;10/08/2024 15:01;10/08/2024 15:01
902;Phenol;250.00;Lemari Kayu Berpintu;Padat;10/08/2024 15:03;10/08/2024 15:03
903;PDA Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:05;12/08/2024 08:05
904;EMB Agar;1000.00;-;Padat;12/08/2024 08:05;12/08/2024 08:13
905;Nutrient Agar (NA);500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:06;12/08/2024 08:06
906;Nutrient Broth (NB) Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:07;12/08/2024 08:07
907;Selenith Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:07;12/08/2024 08:07
908;Simmon's Citrat Agar;1000.00;-;Padat;12/08/2024 08:08;12/08/2024 08:09
909;MHA;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:10;12/08/2024 08:10
910;Brillian Green Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:12;12/08/2024 08:12
911;VP-MR Medium;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:13;12/08/2024 08:13
912;Lactose Broth Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:15;12/08/2024 08:15
913;Tryptone Soya Broth;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:15;12/08/2024 08:15
914;Peptone Water Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:16;12/08/2024 08:16
915;SIM Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:16;12/08/2024 08:16
916;Mac Conkey Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:17;12/08/2024 08:17
917;TSIA Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:17;12/08/2024 08:17
918;TCBS Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:17;12/08/2024 08:17
919;Sabaroad Dextrose Agar (SDA);500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:18;12/08/2024 08:18
920;Mannitol Salt Agar (MSA);500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:19;12/08/2024 08:19
921;Endo Agar;500.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:19;12/08/2024 08:19
922;Safranin;100.00;Rak Besi Stok;Cair;12/08/2024 08:20;12/08/2024 08:20
923;Eosin;100.00;Rak Besi Stok;Cair;12/08/2024 08:20;12/08/2024 08:20
924;Asam Piruvat;25.00;Rak Besi Stok;Cair;12/08/2024 08:21;12/08/2024 08:21
925;Erlich Reagen;50.00;Rak Besi Stok;Cair;12/08/2024 08:22;12/08/2024 08:22
926;Larutan Giemsa;200.00;Rak Besi Stok;Cair;12/08/2024 08:22;12/08/2024 08:22
927;Ammonium Oksalat;200.00;Rak Besi Stok;Cair;12/08/2024 08:23;12/08/2024 08:23
928;Reagen Barfoed;100.00;Rak Besi Stok;Cair;12/08/2024 08:24;12/08/2024 08:24
929;Reagen Millon;300.00;Rak Besi Stok;Cair;12/08/2024 08:24;12/08/2024 08:24
930;Reagen Wagner;100.00;Rak Besi Stok;Cair;12/08/2024 08:24;12/08/2024 08:24
931;Reagen Biuret;100.00;Rak Besi Stok;Cair;12/08/2024 08:25;12/08/2024 08:25
932;Ammonium Iron;50.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:26;12/08/2024 08:26
933;Eriochrone;4.00;Rak Stok (Kayu Putih);Padat;12/08/2024 08:26;12/08/2024 08:26
934;Pereaksi Marquis;100.00;Rak Besi Stok;Cair;12/08/2024 08:27;12/08/2024 08:27
935;Acetaldehyde Solution;500.00;Rak Besi + Rak Besi Stok;Cair;12/08/2024 10:02;12/08/2024 10:02
936;Aceton;1000.00;Rak Besi + Rak Besi Stok;Cair;12/08/2024 10:04;12/08/2024 10:04
937;Alumunium Chloride;500.00;Rak Besi;Padat;12/08/2024 10:25;12/08/2024 10:25
938;Hidroclorida Acid Fuming 37%;2500.00;Rak Besi;Cair;12/08/2024 10:45;12/08/2024 10:45
939;MHA;500.00;Rak Besi;Padat;12/08/2024 10:46;12/08/2024 10:46
940;Nutrient Broth (NB) EXP 2026;500.00;Rak Besi;Padat;12/08/2024 10:47;12/08/2024 10:47
941;PDA Agar EXP 2026;500.00;Rak Besi;Padat;12/08/2024 10:47;12/08/2024 10:47
942;LPCB;500.00;Rak Besi;Cair;12/08/2024 10:48;12/08/2024 10:48
943;Ferric Nitrate Nanohydrate EXP 2027;500.00;Rak Besi;Padat;12/08/2024 10:49;12/08/2024 10:49
944;N-(1-Naphthyl) ethylenediamine dihydro-chloride;25.00;Rak Besi;Padat;12/08/2024 10:50;12/08/2024 10:50
945;FeCl3;5.00;Lemari Kayu Berpintu;Padat;12/08/2024 10:51;12/08/2024 10:51
946;Indikator Ferroin;100.00;Rak Besi;Cair;12/08/2024 10:51;12/08/2024 10:51
947;Buffer PBS pH 7,4 EXP 2024;50.00;Rak Besi;Cair;12/08/2024 10:52;12/08/2024 10:52
948;Larutan PBS;200.00;Rak Besi Stok;Cair;12/08/2024 10:53;12/08/2024 10:53
949;Buffer Ammonium pH 7;10.00;Lemari Kayu Berpintu;Cair;12/08/2024 10:53;12/08/2024 10:53
950;Reagen Barfoed;80.00;Lemari Kayu Berpintu;Cair;12/08/2024 10:56;12/08/2024 10:56
951;Natrium Dithionite/Sodium Dithionite;50.00;Lemari Kayu Berpintu;Padat;12/08/2024 10:57;12/08/2024 10:57
952;Methyl Red/Metil Merah EXP 2025;100.00;Rak Besi;Cair;12/08/2024 10:58;12/08/2024 10:58
953;Larutan Eosin;200.00;Rak Besi;Cair;12/08/2024 10:58;12/08/2024 10:58
954;Reagen Toluene;200.00;Rak Besi;Cair;12/08/2024 10:59;12/08/2024 10:59
955;Chlorpeniramine;100.00;Rak Besi Stok;Padat;14/08/2024 08:31;14/08/2024 08:31
956;Codein;50.00;Rak Besi Stok;Padat;14/08/2024 08:31;14/08/2024 08:31
957;Cravit;1000.00;Rak Besi Stok;Padat;14/08/2024 08:32;14/08/2024 08:32
958;Efedrin;2100.00;Rak Besi Stok;Padat;14/08/2024 08:33;14/08/2024 08:33
959;Gliceryl Guaiacolat (GG);2300.00;Rak Besi Stok;Padat;14/08/2024 08:35;14/08/2024 08:35
960;Salbutamol;1000.00;Rak Besi Stok;Padat;14/08/2024 08:36;14/08/2024 08:36
961;Pehacort;150.00;Rak Besi Stok;Padat;14/08/2024 08:36;14/08/2024 08:36
